title,address,date,description,price,phone,link
5 bedroom detached house for sale,"East Farmhouse, East Kilbride Road, Rutherglen, Glasgow, G73",yesterday,A fine and substantial detached house with 5 bedrooms in a convenient location. About 0.80 acres. Living Room/Dining Room. Sitting Room. 5 Bedrooms (one en suite). Kitchen. Lovely established gardens. Gravelled courtyard with parking for several cars and vehicles. Useful stone outbuilding.,"£430,000",01292 872317,https://www.rightmove.co.uk//property-for-sale/property-94114646.html
3 bedroom flat for sale,"22 Ranfurly Road, Penilee, Glasgow, G52",yesterday,"Well-presented upper cottage flat in the highly popular locale of Penilee. Boasts three double bedrooms, spacious lounge, fitted kitchen, bathroom, D/G, GCH, Garden.","£79,995",0141 392 0127,https://www.rightmove.co.uk//property-for-sale/property-81413863.html
3 bedroom flat for sale,"Moness Drive, Bellahouston, Glasgow, G52",yesterday,"Rarely available 3-bedroom, red sandstone fronted lower cottage flat in the highly popular locale of Bellahouston. The property requires modernisation. Benefits from GCH and garden to the front and rear. Viewing is highly recommended.","£99,995",0141 392 0127,https://www.rightmove.co.uk//property-for-sale/property-81413821.html
3 bedroom apartment for sale,"St. Vincent Crescent, Glasgow, G3",yesterday,Excellent traditional 3 bedroom ground floor flat in central location.,"£295,000",0141 392 0160,https://www.rightmove.co.uk//property-for-sale/property-94108418.html
4 bedroom detached house for sale,"MacNicol Place, Stewartfield, East Kilbride, G74 4QF",yesterday,"Set at the end of a cul de sac within the prestigious Kittoch Glen Development is this substantially extended , 4/5-bedroom detached villa. The property has many features listed below, is upgraded and maintained to the highest standard and set within landscaped gardens. ","£375,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-94102385.html
1 bedroom flat for sale,"Thistle Street, Kirkintilloch, G66",yesterday,Penworth Properties are delighted to present to the market a fantastic opportunity to acquire this sought after traditional sandstone ground floor flat. Located in the centre of Kirkintilloch and close to all amenities. Must be viewed to be fully appreciated. ,"£70,000",01236 355042,https://www.rightmove.co.uk//property-for-sale/property-81404572.html
3 bedroom semi-detached house for sale,"Parkside Place, Glasgow, Glasgow, G20 9NE",yesterday,"HD Video Available. Tucked away in a quiet cul de sac, this three bedroom, semi-detached villa offers comfortable accommodation for a growing family and will appeal to a broad spectrum of purchasers. The home for sale is an attractive, semi-detached villa with a blonde facing brick and...","£120,000",0141 392 0187,https://www.rightmove.co.uk//property-for-sale/property-71504859.html
3 bedroom mews house for sale,"Woodside Terrace Lane, Glasgow, G3",yesterday,3 bedroom mews with south facing terrace.,"£395,000",0141 392 0160,https://www.rightmove.co.uk//property-for-sale/property-94101872.html
4 bedroom duplex for sale,"Lorraine Road, Glasgow, G12",yesterday,4 bed upper duplex in West End. ,"£625,000",0141 392 0160,https://www.rightmove.co.uk//property-for-sale/property-94101749.html
2 bedroom flat for sale,"Bonnyton Drive, Eaglesham, Glasgow, East Renfrewshire, G76",yesterday,"Well positioned within this highly popular location and presented to the market in walk-in condition, this spacious two bedroomed ground floor flat will appeal to a wide range of prospective buyers. Comprises reception hall with deep set storage cupboard, lounge with open plan dining room, f...","£90,000",0141 392 0077,https://www.rightmove.co.uk//property-for-sale/property-69008367.html
2 bedroom flat for sale,"Quebec Drive, Westwood, East Kilbride, G75",yesterday,"This well-maintained top floor flat with Gas Central Heating and UPVC double glazing is close to East Kilbride Town Centre, Train Station and Village. ","£70,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-93963419.html
4 bedroom detached house for sale,"Auchinleck Road,
Glasgow,
G33",yesterday,"A community of 3 and 4 bedroom homes in Robroyston built by an award winning housebuilder. You'll enjoy quick access to the City for commuting and short journeys into town for shopping trips. Living here, you'll have fantastic commuter links and plenty of amenities nearby. A selection of our hom...","£295,995",0141 392 0877,https://www.rightmove.co.uk//property-for-sale/property-81401323.html
1 bedroom flat for sale,"Hill Street, Flat 1/3, Garnethill, Glasgow, G3 6US",yesterday,"HD Video Available. Commanding a superb position in Garnethill, this beautifully appointed one bedroom home offers bright, comfortable accommodation and boasts uninterrupted views stretching for miles over the West  of the city and off to the hills beyond.  Minutes walk from Glasgow's...","£130,000",0141 392 0187,https://www.rightmove.co.uk//property-for-sale/property-71504244.html
3 bedroom semi-detached house for sale,"Copperfield Lane, Uddingston, Glasgow",yesterday,This substantial and successfully extended semi-detached sits proudly within an excellent corner plot in the ever popular Spindlehowe area of Uddingston. This tremendous property is presented to the market in fabulous order throughout and offers circa 1200sqft of fantastic family living space.,"£225,000",01698 650068,https://www.rightmove.co.uk//property-for-sale/property-94097594.html
2 bedroom flat for sale,"Maxwellton Road, Calderwood, East Kilbride, G74",yesterday,"This rarely available two -bedroom lower cottage flat has been maintained to a very high standard. It has gas central heating, UPVC double glazing, stylish fitted kitchen and modern shower room.","£77,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-94057568.html
2 bedroom flat for sale,"Melbourne Court, Braidpark Drive, Giffnock, Glasgow, G46 6LA",22/06/2020,"Set within the highly desirable and well positioned Melbourne Court development built by Dickie homes, this modern first floor flat offers well proportioned accommodation all on one level with an attractive outlook to both front and rear, along with ample residents parking and private garage. Int...","£170,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71343138.html
2 bedroom end of terrace house for sale,"Strathcona Place, The Murray, East Kilbride, G75",yesterday,"Renovated throughout to a very high standard is this spacious two-bedroom end terraced Villa. It is close to primary and secondary schools, sports and recreational facilities, East Kilbride Town Centre and Village, Train Station and regular bus services. ","£112,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-94059611.html
3 bedroom semi-detached house for sale,"Falkland Drive, West Mains, East Kilbride, G74",yesterday,"Situated close to East Kilbride, Train Station, Village and Town Centre is this stylish three-bedroom semi-detached villa. It is upgraded to a high standard throughout, has a monobloc driveway and very private secluded rear garden. ","£155,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-93957608.html
3 bedroom semi-detached house for sale,"Tannin Crescent, Ballerup Village, East Kilbride, G75",yesterday,"Built by Barratt Homes and set within a highly desirable pocket is this three-bedroom semi-detached villa with driveway. The property is maintained to the highest standard, has a very private, sunny landscaped garden to rear. ","£169,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-93964610.html
2 bedroom flat for sale,"Wylie, Calderwood, East Kilbride, G74",yesterday,"This spacious 2nd floor flat with sun balcony and open aspect is located within a popular pocket, close to all local amenities and main bus routes. It is maintained throughout to a high standard, is within a very well-maintained block and has ample parking. ","£72,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-93958421.html
2 bedroom flat for sale,"Argyll Place, Brancumhall, East Kilbride, G74",yesterday,"Situated within the private Brancumhall development, is this preferred first floor, two-bedroom apartment with en-suite. It is tastefully decorated throughout, has a stylish kitchen, fully tiled modern bathroom and is convenient for local amenities and transport links. ","£91,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-94058420.html
3 bedroom terraced house for sale,"Carham Drive, Glasgow, G52",yesterday,"Stunning larger three bedroom MID TERRACE VILLA has been upgraded to an uncompromising standard and specification and internal inspection will not disappoint. Tastefully decorated throughout with a particularly stylish interior, the specification includes gas central heating, double glazing, secu...","£150,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94095089.html
4 bedroom detached house for sale,"Ermelo Gardens, Glasgow, G75",yesterday,"This stunning, four bedroom detached home is the ideal property for a family home. Boasting four large bedrooms, spacious lounge, modern kitchen, separate sitting room/dinning room and downstairs W.C, this property will be popular. The property is situated within close proximity to the M77 & M74 ...","£225,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94094693.html
1 bedroom flat for sale,"6 Springfield Gardens, Glasgow, G31",yesterday,"Benefiting from impressive views across a mature common green, this contemporary 2nd floor apartment has great size living accommodation throughout. A secured entry system opens to a well maintained and welcoming communal hallway that leads to all apartments. Internal Viewing Is A Must To Apprec...","£85,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94093502.html
2 bedroom flat for sale,"1F Killermont View, Glasgow, G20 0TZ",yesterday,A larger style 2 bedroom flat situated in a quiet and popular location adjacent to the River Kelvin and within easy commuting distance of Glasgow. Excellent layout of apartments and situated in a well maintained building with attractive  views to the front and rear  ,"£125,000",0141 392 0296,https://www.rightmove.co.uk//property-for-sale/property-81395161.html
4 bedroom detached house for sale,"off Neilston Road,
Neilston,
Glasgow,
G78 3NR",yesterday,The Drummond offers an impressive combined kitchen diner area with French doors to the rear garden. The spacious living room is the perfect space to relax & there is a handy detached garage.,"£257,000",0141 392 0874,https://www.rightmove.co.uk//property-for-sale/property-81385342.html
4 bedroom detached house for sale,"East Kilbride,
Glasgow,
G75",yesterday,"This home has an impressive, front-facing lounge, ideal for entertaining guests and the combined kitchen and breakfast area provides the perfect catch-up spot for busy families.","£288,000",01355 516051,https://www.rightmove.co.uk//property-for-sale/property-81385300.html
2 bedroom maisonette for sale,"Mill Road, Glasgow",yesterday,"Immaculate two bedroom maisonette flat situated in Halfway, Cambuslang and features include recently fitted modern kitchen, recently fitted double glazing, recently fitted bathroom and a generous size living room.","£45,000",0161 468 1430,https://www.rightmove.co.uk//property-for-sale/property-81380107.html
2 bedroom flat for sale,"0/1, 137 Ingram Street, Glasgow, G1",26/06/2020,A fabulous apartment within a stunning B-listed sandstone building located within the ever fashionable Merchant City of Glasgow's City Centre. Internally the accommodation can be found in exceptional order and is sure to appeal to all who view. Access is gained into the well kept communal ...,"£230,000",0141 392 0855,https://www.rightmove.co.uk//property-for-sale/property-81378436.html
2 bedroom flat for sale,"Dumbarton Road, Yoker, Glasgow",26/06/2020,Immaculate Top Floor Flat recently upgraded and offering recently upgraded accommodation comprising Hall ,"£77,000",03332 413333,https://www.rightmove.co.uk//property-for-sale/property-94079987.html
1 bedroom flat for sale,"Great George Street, Flat 2/1, Glasgow, Hillhead, G12 8NA",26/06/2020,"HD Video Available. Enjoying a peaceful, leafy position in Hillhead, this bright, one bedroom second floor apartment offers attractive, flexible living space and has scope to be used as a two bedroom home if necessary. The home for sale lies within a traditional, well maintained, blond...","£160,000",0141 392 0187,https://www.rightmove.co.uk//property-for-sale/property-71504346.html
3 bedroom terraced house for sale,"Baird Hill, Glasgow, G75",26/06/2020,A larger mid terraced villa situated in an admired residential address within the mature Murray district of East Kilbride. The subjects offer bright & spacious living accommodation formed over 2 levels & would be suited to both young or elderly purchasers alike. This freshly decorated home has br...,"£120,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94073465.html
3 bedroom bungalow for sale,"Sunnyside Drive, Blairdardie, G15",26/06/2020,"Luxuriously refurbished and extended Bungalow, boasting stunning views across the Campsies and the Kilpatrick Hills. Tastefully re-decorated to an extremely high standard a truly walk-in condition 3 bedroom bungalow set within large well-tended gardens.","£250,000",07434 549462,https://www.rightmove.co.uk//property-for-sale/property-71489901.html
2 bedroom apartment for sale,"Mingarry Street, North Kelvinside, Glasgow",26/06/2020,This immaculately presented two bedroom flat occupies an elevated ground floor position within a unique Art Deco former fire station building in the popular North Kelvinside District. The development has a central courtyard with a focal point fountain and provides the huge benefit of gated privat...,"£189,950",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81374956.html
2 bedroom apartment for sale,"St Andrews View, Bearsden",26/06/2020,"Forming part of Bearsden’s prestigious St. Andrew’s View development, a luxurious, two bedroomed second floor apartment with lift access and private balcony with Southerly aspect. St. Andrew’s View is a top-quality development of only twenty flats, most of which are ...","£225,000",0141 392 0116,https://www.rightmove.co.uk//property-for-sale/property-71489766.html
2 bedroom semi-detached house for sale,"Avon Avenue, Bearsden, Glasgow",26/06/2020,"Rarely available, this immaculate two bedroomed semi-detached bungalow is quietly nestled in a peaceful residential avenue and has been successfully extended over the course of client’s custodianship to now offer a really adaptable and well appointed home. Sure to attract interest from down...","£249,000",0141 392 0116,https://www.rightmove.co.uk//property-for-sale/property-71489730.html
3 bedroom terraced house for sale,"Craiglockhart Street,
Garthamlock,
G33",26/06/2020,"Providing accommodation over three levels, the Brodick is a firm favourite. On the ground floor the Brodick features a front aspect lounge with deep under-stair storage cupboard, kitchen/dining room with direct access to the rear garden and downstairs cloakroom. Upstairs on the first floor there ...","£172,995",0141 392 0457,https://www.rightmove.co.uk//property-for-sale/property-71489637.html
2 bedroom semi-detached house for sale,"Hawthorn Avenue, Bearsden, Glasgow",26/06/2020,"A delightful example of the ‘Dutch style’ villas erected post war by John McDonald, this very smartly presented two bedroomed home sits on the side of Hawthorn avenue with a particularly pleasant backdrop onto the established woodland of the Kilmardinny Loch Nature Reserve. Sharp neut...","£249,000",0141 392 0116,https://www.rightmove.co.uk//property-for-sale/property-71489580.html
3 bedroom apartment for sale,"Broomhill Terrace, Broomhill, Glasgow",26/06/2020,An immediately impressive and comfortably proportioned second floor flat contained within a handsome blonde sandstone tenement building dating to circa 1860. Located in the highly desirable Broomhill area the property occupies a quiet yet convenient West End location close to an enviable selecti...,"£249,000",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81374728.html
4 bedroom detached house for sale,"Loyal Gardens, Baljaffray, Bearsden, East Dunbartonshire, G61 4SA",26/06/2020,"HD Video Available. This larger style of 4 bedroom, plus study, detached villa by John Lawrence has been thoughtfully extended and occupies an enviable, corner, cul-de-sac setting. Set amidst beautifully kept, level gardens, the home now offers 7 principal apartments formed over two levels and th...","£339,000",0141 392 0185,https://www.rightmove.co.uk//property-for-sale/property-71489334.html
2 bedroom flat for sale,"Fairyknowe Court, Bothwell, Glasgow, G71",26/06/2020,"Nestled in a quiet & exclusive cul de sac, this (1st floor) flat offers you spacious living with everything you'll need for your comfort and enjoyment. Initial highlights include a corner living room with dual aspect windows, kitchen with dining space, 2 double bedrooms, bathroom & en-suite. ","£195,000",01698 852237,https://www.rightmove.co.uk//property-for-sale/property-94016216.html
Retirement property for sale,"Alexandra Court Care Home, 332 Edinburgh Road, Glasgow, Lanarkshire, G33",26/06/2020,"Possible potential for reconfiguration subject to obtaining all necessary consents, GIA approximately 2,221 sqm (23,907 sq ft), Site Area extending to approximately 0.472 hectares (1.166 acres) , Benefiting from Car Park and Gardens, Shops at Forge Retail Park and Glasgow City Centre , Partial re...","£550,000",020 8012 1518,https://www.rightmove.co.uk//property-for-sale/property-94069397.html
3 bedroom apartment for sale,"2/2 5 Kelvindale Gardens, Kelvindale, Glasgow, G20 8DW",26/06/2020,STYLISH AND SPACIOUS CONTEMPORARY 3 BEDROOM APARTMENT SET WITHIN BEAUTIFULLY LANDSCAPED COMMUNAL GARDENS IN THE LEAFY WEST END DISTRICT OF KELVINDALE WITH PRIVATE RESIDENTS CAR PARK.,"£125,000",0141 392 0111,https://www.rightmove.co.uk//property-for-sale/property-81372454.html
1 bedroom apartment for sale,"Shakespeare Street, North Kelvinside, Glasgow",26/06/2020,"Forming part of the former Shakespeare Public School, a striking red sandstone building situated just north of the River Kelvin and the Botanic Gardens this exquisite elevated ground floor luxury one-bedroom conversion offers a particularly impressive level of finish and specification internally....","£149,950",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81370045.html
3 bedroom semi-detached house for sale,"Vardar Avenue, Clarkston, Glasgow",26/06/2020,A beautifully traditional semi detached villa located within a very popular residential pocket of Clarkston. The property is entered through storm doors into a porch and from there into a welcoming reception hallway with staircase and under-stairs storage. There is a bright front facin...,"£230,000",0141 392 0432,https://www.rightmove.co.uk//property-for-sale/property-94067825.html
4 bedroom semi-detached house for sale,"Dosk Place, Peterson Park",26/06/2020,"Immediately impressive, significantly extended four bedroom semi-detached villa in charming, cul-de-sac location.","£215,000",0141 392 0051,https://www.rightmove.co.uk//property-for-sale/property-81365545.html
2 bedroom terraced house for sale,"Esslemont Avenue, Scotstounhill",26/06/2020,New. Great opportunity to purchase a bright and spacious two bedroom mid-terraced villa in need of refurb.,"£125,000",0141 392 0051,https://www.rightmove.co.uk//property-for-sale/property-81365548.html
2 bedroom flat for sale,"Earl Street, Scotstoun",26/06/2020,Ideally situated two bedroom flat.,"£75,000",0141 392 0051,https://www.rightmove.co.uk//property-for-sale/property-94067318.html
2 bedroom flat for sale,"Flat 3/1, 64 Airlie Street, Glasgow, G12 9SW",26/06/2020,Video Available. Outstanding architecturally redesigned Top floor flat with stunning living area and master en suite. A beautiful blend of period features and modernity. Well maintained rear garden. EER-C,"£250,000",0141 392 0251,https://www.rightmove.co.uk//property-for-sale/property-93970664.html
4 bedroom detached house for sale,"Newlands Road, Newlands, Glasgow",26/06/2020,"Orkie House is a striking detached villa, situated on a large corner plot in Newlands. The current owners have undertaken extensive improvements of the property in their time, making it a must for viewing in order to be appreciated. Set back on a large plot, situated on the corner o...","£725,000",0141 392 0010,https://www.rightmove.co.uk//property-for-sale/property-68522577.html
2 bedroom ground floor flat for sale,"Clarkston Road, Muirend, GLASGOW",26/06/2020,"Virtual viewing available. Set within a well-preserved modern development, this bright and spacious ground floor flat enjoys a most central position close to a variety of local amenities.","£125,000",0141 392 0105,https://www.rightmove.co.uk//property-for-sale/property-94067099.html
4 bedroom detached house for sale,"Baird Gait, Cambuslang, Glasgow, South Lanarkshire, G72",26/06/2020,"Truly stunning family home upgraded throughout to a very high standard with a superb finish inside and out. The family accommodation comprises: welcoming reception hallway with direct access to the downstairs apartments, the hallway extends through to a bright and spacious lounge with French...","£238,000",0141 392 0076,https://www.rightmove.co.uk//property-for-sale/property-94066925.html
4 bedroom detached house for sale,"Rosehall Gardens, Uddingston, Glasgow",26/06/2020,"Enjoying a fantastic position with a new Miller Homes development is this excellent detached villa which is presented to the market in pristine order throughout. Built by Miller Homes in the model of the ""Esk"", this beautifully designed home is sure to instantly appeal to those who view. ","£240,000",01698 650068,https://www.rightmove.co.uk//property-for-sale/property-94066577.html
2 bedroom flat for sale,"Dudley Drive, Flat 0/2, Hyndland, Glasgow, G12 9RR",26/06/2020,"HD Video Available. Without a doubt one of the rarest property styles in the West End of Glasgow, this original tenement duplex with private garden enjoys a highly convenient position in Hyndland and offers beautifully appointed accommodation over two levels. Just around the corner fr...","£275,000",0141 392 0187,https://www.rightmove.co.uk//property-for-sale/property-71487762.html
3 bedroom maisonette for sale,"Main Street, Uddingston, Glasgow, G71",26/06/2020,"Have your cake (& also eat it)! This exquisite property has been fully restored to it's former glory & beyond, combining traditional size rooms and features with every modern touch you will want! Additionally you'll enjoy a rooftop terrace, driveway & enclosed rear garden. View on the virtual tour!","£270,000",01698 852237,https://www.rightmove.co.uk//property-for-sale/property-94016003.html
3 bedroom terraced house for sale,"Deveron Avenue, Giffnock, Glasgow, G46 6NH",26/06/2020,"HD Video Available. Set within a highly desirable, yet quiet pocket of Giffnock, this mid terrace villa enjoys an elevated position ensuring a good degree of privacy whilst also offering stunning open aspects towards Huntly Park. The property has been successfully reconfigured and extended to now...","£195,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71487414.html
3 bedroom semi-detached house for sale,"39 Farm Wynd, Lenzie, G66 3RJ",26/06/2020,"Enjoying spectacular views to the rear, this nicely proportioned semi-detached villa is presented in fabulous order throughout. EPC -","£210,000",0141 392 0439,https://www.rightmove.co.uk//property-for-sale/property-81363436.html
1 bedroom apartment for sale,"Grosvenor Crescent, Dowanhill, Glasgow",26/06/2020,"This immediately impressive one bedroom ground floor conversion forms part of an attractive blonde sandstone terraced townhouse which enjoys an outlook onto the elegant Kelvinside Hillhead Parish Church. Located in the heart of the highly desirable Dowanhill area, 15 Grosvenor Crescent occupies a...","£175,000",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81363412.html
3 bedroom flat for sale,"Monifieth Avenue, Cardonald, Glasgow, G52 3DJ",26/06/2020,"HD Property Video Available. A fantastic three bedroom upper cottage flat which offers spacious accommodation and an abundance of private outdoor space, part of which could easily be converted to form a driveway and/or garage. Set within a highly sought after residential pocket of Cardonald the...","£75,000",0141 392 0182,https://www.rightmove.co.uk//property-for-sale/property-71487075.html
2 bedroom terraced house for sale,"41 Towerhill Road, Knightswood, Glasgow, G13 2HS",26/06/2020,Undoubtedly one of the finest properties of this style in this extremely popular residential location which although quiet is extremely handy for a host of local amenities. ,"£105,000",0141 392 0217,https://www.rightmove.co.uk//property-for-sale/property-71486952.html
2 bedroom flat for sale,"S8, Cathcart House, 60 Inverlair Avenue, Newlands, G43 2AS",26/06/2020,Show home now open by appointment only. Outstanding two bedroom apartment extending to 1507 sq ft.,"£345,000",0141 392 0136,https://www.rightmove.co.uk//property-for-sale/property-94064894.html
2 bedroom apartment for sale,"Novar Drive, Hyndland, Glasgow",26/06/2020,"Enjoying a particularly bright top (third) floor position within an elegant, traditional red sandstone tenement building this impressive two bedroom flat is presented in walk in condition. Situated in the heart of the highly popular and convenient Hyndland area this fabulous property is exc...","£209,000",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81363007.html
3 bedroom flat for sale,"Dalintober Street, Flat 5/4 , Tradeston, Glasgow, G5 8JZ",26/06/2020,"CASH PURCHASE ONLY - HD Property Video Available. A superb and immensely unique three bedroom loft style apartment that occupies a corner position of this superb warehouse conversion located within one of Glasgow’s finest Victorian buildings. Positioned on the fifth floor and accessed by lift, t...","£240,000",0141 392 0182,https://www.rightmove.co.uk//property-for-sale/property-71486856.html
3 bedroom flat for sale,"Monksbridge Avenue, Knightswood, Glasgow, G13 2DS",26/06/2020,"An extensively modernised and upgraded, three bedroomed, lower cottage flat, beautifully presented throughout and with the advantage of front and back doors, all complemented with a delightful positio...","£129,999",0141 392 0899,https://www.rightmove.co.uk//property-for-sale/property-71486844.html
2 bedroom terraced house for sale,"Ardmaleish Road, Glasgow, Lanarkshire, G45",26/06/2020,"Truly stunning family home upgraded throughout to a very high standard with a superb finish inside and out. The accommodation consists of a welcoming entrance hallway, bright and spacious lounge, family dining room and modern fitted kitchen with base and wall units. The upper level com...","£80,000",0141 392 0076,https://www.rightmove.co.uk//property-for-sale/property-94060109.html
Land for sale,"Broughton Gardens, Glasgow, G23",,Seldom available plot of land within a popular modern development of Summerston. Sure to appeal to local builders understanding the high demand for land within the area.,"£20,000",0141 392 0829,https://www.rightmove.co.uk//commercial-property-for-sale/property-67859743.html
2 bedroom flat for sale,"Flat 2/2, 268 Crow Road, G11 7LA",26/06/2020,"A superb, traditional two bedroom, second floor tenement flat right in the heart of the increasingly popular Broomhill district of Glasgow’s West End.","£199,000",0141 392 0135,https://www.rightmove.co.uk//property-for-sale/property-94060070.html
3 bedroom flat for sale,"Main Door, 19 Lynedoch Street, G3 6EF",26/06/2020,"19 Lynedoch Street, within the “Lynedoch Terrace” development was built by Weymss Property and completed in 2016. A fantastic, elevated ground floor, main door flat with dual aspects both on Lynedoch Street and Lynedoch Terrace.","£410,000",0141 392 0135,https://www.rightmove.co.uk//property-for-sale/property-94059968.html
2 bedroom flat for sale,"P4, Cathcart House, Cathcart House, G43 2AS",26/06/2020,Show home now open by appointment only. Stunning two bedroom penthouse with private terrace extending to nearly 1300 square feet.,"£366,000",0141 392 0136,https://www.rightmove.co.uk//property-for-sale/property-94059923.html
3 bedroom terraced house for sale,"The Paddock , Busby , Glasgow , G76",26/06/2020,A well presented mid terraced house enjoying a highly popular location.,"£210,000",0141 392 0260,https://www.rightmove.co.uk//property-for-sale/property-71486637.html
2 bedroom flat for sale,"P3, Cathcart House, Cathcart House, G43 2AS",26/06/2020,Show home now open by appointment only. Stunning two bedroom penthouse with private terrace extending to nearly 1300 square feet.,"£366,000",0141 392 0136,https://www.rightmove.co.uk//property-for-sale/property-94059803.html
2 bedroom mews house for sale,"37 Gartloch Way, Gartcosh, G69 8FD",26/06/2020,"Part of the successful renovation of the former Gartloch Hospital, this mid terrace, mews house has a wonderful blend of traditional style and modern convenience. Viewing is advised to appreciate the scale of the accommodation on offer.  EPC - C.","£150,000",0141 392 0439,https://www.rightmove.co.uk//property-for-sale/property-81362359.html
3 bedroom semi-detached house for sale,"Milverton Road, Giffnock, Glasgow, G46",26/06/2020,Classically proportioned 1930s semi detached house with creative extension to the rear.,"£495,000",0141 392 0093,https://www.rightmove.co.uk//property-for-sale/property-71486454.html
4 bedroom semi-detached house for sale,"Moorfoot Avenue, Thornliebank, Glasgow, G46",26/06/2020,A creatively extended four bedroom family house in a quiet cul-de-sac.,"£275,000",0141 392 0093,https://www.rightmove.co.uk//property-for-sale/property-71486451.html
3 bedroom flat for sale,"Castleton Drive, Newton Mearns, Glasgow, G77",26/06/2020,An extremely spacious three bedroom flat with contemporary modern styling throughout.,"£149,000",0141 392 0093,https://www.rightmove.co.uk//property-for-sale/property-71486448.html
