title,address,date,description,price,phone,link
2 bed maisonette for sale,"Athelstane Road, Knightswood, Glasgow G13",19th Jun 2020,"A very spacious, two bedroom upper cottage flat which is located in a much sought-after tree-lined, Knightswood street. This property enjoys the larger style kitchen and a southerly aspect to the rear. (contd...)","£115,000",0141 376 8387 **,https://www.zoopla.co.uk//for-sale/details/55248130?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Croftbank Crescent, Bothwell G71",19th Jun 2020,"Period Red Sandstone terrace upper flat situated in a quiet and popular location. This revamped property comprises entrance hall, lounge, fitted kitchen, double bedroom and bathroom. The specification includes Gas Central Heating and Double Glazing.","£80,000",0141 433 1058 **,https://www.zoopla.co.uk//for-sale/details/55247106?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed end terrace house for sale,"Ashburn Gardens, Milngavie, Glasgow G62",19th Jun 2020,"Early viewing is advised to appreciate this well positioned end terraced villa. The property is located in an established residential area yet lies within a short distance of excellent facilities and amenities including local schooling, shops in ...","£175,000",0141 376 7272 **,https://www.zoopla.co.uk//for-sale/details/55245911?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed detached house for sale,"""The Welbury"" at Aurs Road, Barrhead, Glasgow G78",19th Jun 2020,"Costs covered package worth £19,349! Leave ordinary behind. This extraordinary home boasts living room with bi-fold doors. Designer kitchen with integrated appliances. The master includes fitted wardrobes.","£369,995",0141 376 7353 **,https://www.zoopla.co.uk//new-homes/details/55243088?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed terraced house for sale,"""The Knightsbridge End"" at Blantyre, Glasgow G72",19th Jun 2020,"Pimp my first home package worth £11,700! This extraordinary home features open plan living with kitchen and dining area, plus integrated appliances and bi-fold doors. Master includes en suite. More home to begin with, more of what you really want ...","£208,995",0141 376 7538 **,https://www.zoopla.co.uk//new-homes/details/55243083?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed terraced house for sale,"""The Bambridge "" at Blantyre, Glasgow G72",19th Jun 2020,"Reserve this home with Help to Buy available! Need impressing? This extraordinary home features open plan kitchen, dining and living area with bi-fold doors. Family bathroom with full-height tiling. More home to begin with, more of what you really ...","£163,995",0141 376 7538 **,https://www.zoopla.co.uk//new-homes/details/55243082?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed terraced house for sale,"""The Tonbridge"" at Blantyre, Glasgow G72",19th Jun 2020,"Leave ordinary behind. This extraordinary home features open plan living with kitchen and dining area, plus integrated appliances and bi-fold doors. Master with en suite. More home to begin with, more of what you really want included in the price.","£225,995",0141 376 7538 **,https://www.zoopla.co.uk//new-homes/details/55243084?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"""The Tay 1st Floor"" at Inchgarvie Loan, Glasgow G5",19th Jun 2020,"Superior 2 bed apartment with secure entry and the wow factor! Flexible open plan living, stylish designer kitchen with integrated oven, hob and washer dyer. 2 spacious double bedrooms. Master bed features fitted wardrobes. Stylish bathroom with full ...","£186,995",0141 433 6639 **,https://www.zoopla.co.uk//new-homes/details/55243086?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"""The Tweed 2nd Floor"" at Inchgarvie Loan, Glasgow G5",19th Jun 2020,"Superior 2 bed apartment with secure entry and the wow factor! Flexible open plan living, stylish designer kitchen with integrated oven, hob and washer dyer. 2 spacious double bedrooms. Master bed features fitted wardrobes. Stylish bathroom with full ...","£190,995",0141 433 6639 **,https://www.zoopla.co.uk//new-homes/details/55243087?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"""The Spey Ground Floor"" at Inchgarvie Loan, Glasgow G5",19th Jun 2020,"Superior 2 bed apartment with secure entry and the wow factor! Flexible open plan living, stylish designer kitchen with integrated oven, hob and washer dyer. 2 spacious double bedrooms. Master bed features fitted wardrobes. Stylish bathroom with full ...","£184,995",0141 433 6639 **,https://www.zoopla.co.uk//new-homes/details/55243085?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed detached house for sale,"""Guimard"" at Ocein Drive, East Kilbride, Glasgow G75",19th Jun 2020,"-new-personalised home moving advice service. Contact us via telephone, email or live chat: The Guimard is a spectacular four bedroom family home offering over 1612 square feet of living space as well as a detached garage. Featuring a grand master ...","£359,995",0141 376 7221 **,https://www.zoopla.co.uk//new-homes/details/55242513?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed semi-detached house for sale,"Millhouse Drive, Glasgow G20",18th Jun 2020,"Quietly situated on a modern residential development, within easy travelling distance of Glasgow’s West End, motorway links and public transport facilities, this modern semi detached villa is ideal as a first time buy and must be viewed (truncated)","£120,000",0141 376 9553 **,https://www.zoopla.co.uk//for-sale/details/55241384?search_identifier=fe6a8bd84b5c92957b93bf538455137d
5 bed detached house for sale,"""The Dewar"" at Evie Wynd, Newton Mearns, Glasgow G77",18th Jun 2020,"Remote reservations are now available. Our Sales Consultants are on hand to discuss this home - get in touch online or give us a call. The Dewar is a spacious, 5 bedroom family home. On the ground floor, an open plan family and kitchen area, and a ...","£537,000",01324 315750 **,https://www.zoopla.co.uk//new-homes/details/52921565?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed semi-detached house for sale,"Vallantine Crescent, Uddingston, Glasgow G71",18th Jun 2020,This successfully extended semi detached villa offers most substantial and highly flexible accommodation within a popular Tannochside setting. (contd...),"£200,000",01698 599753 **,https://www.zoopla.co.uk//for-sale/details/55238020?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed flat for sale,"Stronvar Drive, Glasgow G14",18th Jun 2020,"New. Bright and spacious three bedroom flat in an ideal location, with GCH and dg.","£85,000",0141 376 7746 **,https://www.zoopla.co.uk//for-sale/details/54594725?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Dumbarton Road, Glasgow G11",18th Jun 2020,New. Beautifully presented two bedroom flat.,"£159,000",0141 376 7746 **,https://www.zoopla.co.uk//for-sale/details/55237927?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed semi-detached house for sale,"Lembert Drive, Clarkston, Glasgow G76",18th Jun 2020,New. Offering outstanding potential is this super three bedroom semi-detached villa just moments from Clarkston Toll.,"£225,000",0141 376 7746 **,https://www.zoopla.co.uk//for-sale/details/55237884?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed flat for sale,"Plot 16 - The Picture House, Finlay Drive, Glasgow G31",18th Jun 2020,"Plot 16 at The Picture House is a 3 bedroom third floor apartment which benefits from open-plan kitchen and living room, 3 double bedrooms with master en suite and allocated parking space.","£245,000",0141 376 7260 **,https://www.zoopla.co.uk//new-homes/details/53020782?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed flat for sale,"Viewpoint Road, Glasgow G21",18th Jun 2020,"Exceptionally spacious, main door upper cottage flat set in popular area close to many amenities including shopping at St Rollox Retail Park, public transport links, recreational facilities and schooling. EPC = C","£75,000",0141 376 8883 **,https://www.zoopla.co.uk//for-sale/details/55236646?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Cardross Street, Dennistoun G31",18th Jun 2020,@@@another 'tiptop' property for sale@@@ attention parents of students walk-in condition open outlook within walking distance to city centre 2 double bedrooms amazing public transport links,"£119,000",0141 376 9790 **,https://www.zoopla.co.uk//for-sale/details/55235607?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed property for sale,"78 Lindores Drive, Stepps, Glasgow G33",18th Jun 2020,"Stunning, semi-detached 3-bedroom villa in this popular Stepps location. Set on a desirable plot with extra-long driveway, this home offers spacious and luxurious accommodation that will appeal to a wide range of families and buyers. EPC = C","£185,000",0141 376 8883 **,https://www.zoopla.co.uk//for-sale/details/55235366?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Yorkhill Street, Glasgow G3",18th Jun 2020,"Plot 8 – The Works, a new development comprising of 34,2 bedroom apartments. A luxury specification is incorporated in all of the contemporary designed apartments.","£290,000",0141 376 7260 **,https://www.zoopla.co.uk//new-homes/details/55235094?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Howard Street, City Centre G1",18th Jun 2020,This truly stunning twobedroom executive flat is set on the second floor of the much-desired Pacific Apartments.,"£195,000",0141 376 8226 **,https://www.zoopla.co.uk//for-sale/details/55235092?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed semi-detached house for sale,"""Forsyth Semi"" at Ayr Road, Newton Mearns, Glasgow G77",18th Jun 2020,Beautiful semi-detached home with an open-plan living area with feature french doors and separate kitchen. Master bedroom with en-suite shower room. Garage.,"£322,000",0141 376 7366 **,https://www.zoopla.co.uk//new-homes/details/54416735?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed detached house for sale,"""Grant Detached"" at Ayr Road, Newton Mearns, Glasgow G77",18th Jun 2020,"Stunning detached home with study, open-plan kitchen/dining, french doors to the garden, laundry room. Master bedroom en-suite with walk-in wardrobe.","£385,000",0141 376 7366 **,https://www.zoopla.co.uk//new-homes/details/55234719?search_identifier=fe6a8bd84b5c92957b93bf538455137d
5 bed detached house for sale,"""Mitchell"" at Ocein Drive, East Kilbride, Glasgow G75",18th Jun 2020,"-new-personalised home moving advice service. Contact us via telephone, email or live chat: The 5-bedroom Mitchell boasts over 2,000 square feet of living space across two floors. The ground floor includes an integral double garage, formal lounge and ...","£419,995",0141 376 7221 **,https://www.zoopla.co.uk//new-homes/details/54331450?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed semi-detached house for sale,"Glenmuir Crescent, Glasgow G53",18th Jun 2020,"Modern Three Bedroom Semi Detached Villa with spacious accommodation comprising entrance hallway, lounge, fitted dining sized kitchen, three bedrooms (all with inbuilt storage) tiled bathroom and downstairs cloaks/wc. There is ample storage via large ...","£155,000",024 7511 8874 **,https://www.zoopla.co.uk//for-sale/details/55232498?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Neil Gordon Gate, Blantyre, Glasgow G72",18th Jun 2020,Excellent value for money is on offer with this rarely available and extremely spacious ground floor flat which enjoys a peaceful yet convenient position within the centre of Blantyre.,"£67,500",01698 599302 **,https://www.zoopla.co.uk//for-sale/details/55231855?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed detached house for sale,"""Glenbuchat"" at Mavor Avenue, East Kilbride, Glasgow G74",18th Jun 2020,Enjoy family meals in the spacious dining kitchen that's filled with natural light from the full height glazed bay. There's also a separate utility room for a little extra practical space. A light and airy lounge is ideal for relaxing and socialising. ...,"£254,995",0141 376 7414 **,https://www.zoopla.co.uk//new-homes/details/54632958?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed detached house for sale,"""Fenton"" at Mavor Avenue, East Kilbride, Glasgow G74",18th Jun 2020,"The Fenton is a stylish, modern and spacious home. The kitchen is a perfect space for entertaining as its open-plan design includes a dining area and access to the back garden. The ground floor also offers a separate utility room and WC. Upstairs ...","£274,995",0141 376 7414 **,https://www.zoopla.co.uk//new-homes/details/54632957?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed detached house for sale,"""Glenbuchat"" at Mavor Avenue, East Kilbride, Glasgow G74",18th Jun 2020,This 4 bed home has a spacious living room to the front with a kitchen/dining room to the rear with access to the back garden. Downstairs also benefits from a separate utility and WC. Upstairs there are two double bedrooms and two single bedrooms with ...,"£254,995",0141 376 7414 **,https://www.zoopla.co.uk//new-homes/details/55230367?search_identifier=fe6a8bd84b5c92957b93bf538455137d
4 bed detached house for sale,"""Craigston"" at Mavor Avenue, East Kilbride, Glasgow G74",18th Jun 2020,This spacious home is great for a growing family. Downstairs there is a large dual aspect living room and open plan kitchen/dining room leading out to the back garden. Upstairs there is three double bedrooms and an additional single bedroom.,"£295,995",0141 376 7414 **,https://www.zoopla.co.uk//new-homes/details/55230368?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed flat for sale,"Harvie Street, Glasgow G51",17th Jun 2020,"Conditional sale by online auction 9th July 2020 at 9.00AM. Fantastic second floor flat within traditional tenement. 3 double bedrooms, lounge, kitchen and bathroom. Benefits include double glazing.","£140,000",0141 376 8622 **,https://www.zoopla.co.uk//for-sale/details/55228247?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed property for sale,"3/2, Lawrie Street, Glasgow G11",17th Jun 2020,"This bright and airy two bedroom flat is set on the top floor of a handsome sandstone tenement in a cul de sac location. Tucked away from the busy main roads, yet on the doorstep of the heart of the West End. Close to a vast array of trendy (truncated)","£175,000",0141 376 9553 **,https://www.zoopla.co.uk//for-sale/details/55228185?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Albert Road, Glasgow G42",17th Jun 2020,Sale by online auction 25th June 2020 at 9.00AM. Fantastic development opportunity with potential uplift within the Queen's Park area of Glasgow's popular South Side.,"£67,000",0141 376 8622 **,https://www.zoopla.co.uk//for-sale/details/55228170?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed detached bungalow for sale,"Duncarnock Crescent, Glasgow G78",17th Jun 2020,Rarely available Detached Bungalow set within a well established and ever popular residential pocket of Neilston. This two bedroom property offers a fantastic opportunity to a variety of buyers. Lovingly maintained over the years this well appointed ...,"£150,000",024 7511 8874 **,https://www.zoopla.co.uk//for-sale/details/55227993?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Eriboll Place, Glasgow G22",17th Jun 2020,Sale by online auction 9th July 2020 at 9.00AM. Solid turnkey investment property with monthly rental income of £433pm / £5200pa with scope for rent rise up to £600pm / £7200pa.,"£58,000",0141 376 8622 **,https://www.zoopla.co.uk//for-sale/details/55227956?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed terraced house for sale,"Ashkirk Drive, Glasgow G52",17th Jun 2020,"Purplebricks Plc proudly present to the market this recently renovated and beautifully presented traditional mid terraced villa within the much sought after area of Mosspark. Internally the accommodation comprises reception hallway, good sized front ...","£175,000",024 7511 8874 **,https://www.zoopla.co.uk//for-sale/details/55227650?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Gallowgate, Dennistoun, Glasgow G40",17th Jun 2020,"Excellent two-bedroom apartment, Very popular location, Only five minutes from City Centre, Walk-in condition","£95,000",0131 268 8955 **,https://www.zoopla.co.uk//for-sale/details/55227429?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Somerville Drive, Glasgow G42",17th Jun 2020,Sale by online auction 25th June 2020 at 9.00AM. Ground floor flat in the ever popular Mount Florida area of Glasgow's South Side. Modernised 1 bed flat. Ideal for investment purchase. Potential rental income £575 pm / £6900 pa.,"£69,000",0141 376 8622 **,https://www.zoopla.co.uk//for-sale/details/55227364?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed flat for sale,"Barrington Drive, Glasgow G4",17th Jun 2020,"An impressive three bedroom, top floor flat set within this handsome blonde sandstone tenement in Woodlands.","£215,000",0141 433 1469 **,https://www.zoopla.co.uk//for-sale/details/51345164?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Cornwall Street, Glasgow G41",17th Jun 2020,Sale by online auction 25th June 2020 at 9.00AM. Third floor flat in the popular Kinning Park area of Glasgow. One bedroom tenement flat in professionally managed traditional tenement building. Ideal for investment purchase.,"£56,500",0141 376 8622 **,https://www.zoopla.co.uk//for-sale/details/55226980?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed flat for sale,"Montford Avenue, Glasgow, Lanarkshire G44",17th Jun 2020,"Beautifully presented lower cottage flat comprising of welcoming reception hallway, good size lounge, modern fitted kitchen, three bedrooms and attractive three piece bathroom. Further benefits includes gas central heating and double glazing. (contd...)","£80,000",0141 376 8792 **,https://www.zoopla.co.uk//for-sale/details/55226421?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Armadale Court, Dennistoun, Glasgow G31",17th Jun 2020,"Rarely available two bedroom second floor flat, presented to the market in exceptional condition throughout. Features include two double bedrooms with fitted storage space, generous size living room with private balcony, modern kitchen with some ...","£110,000",01322 584475 **,https://www.zoopla.co.uk//for-sale/details/55225961?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Saracen Street, Glasgow G22",17th Jun 2020,Sale by online auction 25th June 2020 at 9.00AM. Modernised budget investment 1 bed flat within refurbished red sandstone building in high yielding area of the North of Glasgow.,"£32,000",0141 376 8622 **,https://www.zoopla.co.uk//for-sale/details/55223633?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Kennyhill Square, Dennistoun, Glasgow G31",17th Jun 2020,"****360 virtual tour available**** Keys Estate Agents are delighted to offer to the market this rarely available, yet often requested, traditional, preferred first floor flat, set within the much sought after pocket of Kennyhill Square, in Dennistoun. ...","£144,950",0141 376 8998 **,https://www.zoopla.co.uk//for-sale/details/55223553?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Langside Road, Glasgow G42",17th Jun 2020,"A bright and spacious ground floor tenement flat. This property has recently been freshened and upgraded with a contemporary shower room, trendy ""slate Grey"" style kitchen. Double glazing has been fitted and a modern gas combi boiler installed.","£110,000",0141 376 7558 **,https://www.zoopla.co.uk//for-sale/details/55222664?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Lenzie Way, Glasgow G21",17th Jun 2020,Well presented 2 bedroom Main Door Apartment close to Glasgow City Centre.,"£55,000",0141 376 7558 **,https://www.zoopla.co.uk//for-sale/details/55222419?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed semi-detached house for sale,"Honeydew Drive, Cambuslang, Glasgow G72",17th Jun 2020,This well presented and modern semi detached villa is finished to a very high standard in the ever popular Newton Farm development. The property was built by Taylor Wimpey circa 2016 and offers comfortable family living accommodation which is ...,"£179,995",01698 599806 **,https://www.zoopla.co.uk//for-sale/details/55221306?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Middleton Street, Glasgow G51",17th Jun 2020,Sale by online auction 25th June 2020 at 9.00AM. Online Property Auctions Scotland are pleased to present to market this one bedroom flat in Glasgow's Southside. Currently tenanted. Ideal Buy-to-Let investment opportunity.,"£44,000",0141 376 8622 **,https://www.zoopla.co.uk//for-sale/details/55221215?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"1/3 7 Greenlaw Road, Glasgow G14",17th Jun 2020,"Luke David and Property Bureau are pleased to present to the market this beautiful two (2) bedroom tenement apartment situated in Yoker, Glasgow.The property is situated on the first floor and has ample, on road, parking. The property is owner ...","£70,000",01236 340896 **,https://www.zoopla.co.uk//for-sale/details/55220958?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Elizabeth Street, Glasgow G51",17th Jun 2020,Sale by online auction - 9th July 2020 at 9.00AM. Online Property Auctions Scotland are pleased to present to market this large one bedroom flat in Glasgow's Southside. Currently tenanted. Ideal for Buy-to-Let investor.,"£55,000",0141 376 8622 **,https://www.zoopla.co.uk//for-sale/details/55195742?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed end terrace house for sale,"Ashcroft, Calderwood, East Kilbride G74",17th Jun 2020,"* Home Report Available via the Link On This Website * Bright & Spacious Extended Three Bedroom Terrace Family Home In Great Location * Spacious Lounge Dining Room & Modern Fitted Kitchen Also With Space For Eating * Three Well Proportioned Bedrooms, ...","£125,000",01355 587157 **,https://www.zoopla.co.uk//for-sale/details/55215750?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Newlands Road, Glasgow G44",17th Jun 2020,"Register to view today. Excellent one bedroom temement flat with dg, GCH and lovely space throughout.","£60,000",0141 376 7746 **,https://www.zoopla.co.uk//for-sale/details/53971482?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Rannoch Street, Glasgow G44",17th Jun 2020,A perfectly sited one bedroom traditional first floor flat enjoying a prime location within the heart of Cathcart/Battlefield.,"£70,000",0141 433 0319 **,https://www.zoopla.co.uk//for-sale/details/55215137?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Lynedoch Crescent, Glasgow G3",16th Jun 2020,A superb top floor one bedroom flat set within a converted townhouse in this much admired Crescent in Park District.,"£155,000",0141 433 1469 **,https://www.zoopla.co.uk//for-sale/details/55212228?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Blairbeth Court, Rutherglen, Glasgow G73",16th Jun 2020,Extremely impressive is this luxurious penthouse corner apartment which boasts magnificent living accommodation of circa 1100sqft and a breath-taking interior presentation. Only one of four apartments of its style which enjoys a prominent corner ...,"£175,000",01698 599302 **,https://www.zoopla.co.uk//for-sale/details/55212212?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Pine Place, Oatlands, Glasgow G5",16th Jun 2020,Virtual viewing available. *** new to the market *** Immaculately presented main door 2 bedroom flat within ever desirable pocket of New Gorbals.,"£160,000",0141 433 0319 **,https://www.zoopla.co.uk//for-sale/details/54582975?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Angle Gate, Jordanhill, Glasgow G14",16th Jun 2020,"HD Video Available. Set within a leafy development of compact, easily-maintained retirement dwellings, this charming one bedroom, main door apartment is conveniently-placed for gaining quick easy access to a broad selection of amenities and is just ...","£69,000",0141 376 9403 **,https://www.zoopla.co.uk//for-sale/details/52980871?search_identifier=fe6a8bd84b5c92957b93bf538455137d
